circuito_id,mesa_id,agrupacion_nombre,cargo_nombre,votos_cantidad_generales,votos_cantidad_paso,diferencia_absoluta,z_score_diferencia
00496,348,JUNTOS POR EL CAMBIO,DIPUTADO NACIONAL,0,82,82,3.897443081317586
00496,348,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,0,88,88,4.245995994238668
00496,348,JUNTOS POR EL CAMBIO,SENADOR NACIONAL,0,83,83,3.9555352334710996
00496,348,UNION POR LA PATRIA,DIPUTADO NACIONAL,0,70,70,3.2003372554754215
00496,348,UNION POR LA PATRIA,PRESIDENTE Y VICE,0,71,71,3.2584294076289355
00496,348,UNION POR LA PATRIA,SENADOR NACIONAL,0,72,72,3.316521559782449
00496,371,JUNTOS POR EL CAMBIO,DIPUTADO NACIONAL,96,0,96,4.710733211466778
00496,371,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,95,0,95,4.652641059313264
00496,371,JUNTOS POR EL CAMBIO,SENADOR NACIONAL,99,0,99,4.885009667927319
00496,371,LA LIBERTAD AVANZA,PRESIDENTE Y VICE,69,0,69,3.142245103321908
00496,371,UNION POR LA PATRIA,DIPUTADO NACIONAL,87,0,87,4.187903842085155
00496,371,UNION POR LA PATRIA,PRESIDENTE Y VICE,94,0,94,4.5945489071597505
00496,371,UNION POR LA PATRIA,SENADOR NACIONAL,89,0,89,4.304088146392182
00496,377,UNION POR LA PATRIA,PRESIDENTE Y VICE,23,93,70,3.2003372554754215
00496,378,UNION POR LA PATRIA,SENADOR NACIONAL,25,97,72,3.316521559782449
00496,390,UNION POR LA PATRIA,PRESIDENTE Y VICE,112,40,72,3.316521559782449
00497,610,JUNTOS POR EL CAMBIO,DIPUTADO NACIONAL,104,0,104,5.175470428694887
00497,610,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,103,0,103,5.117378276541373
00497,610,JUNTOS POR EL CAMBIO,SENADOR NACIONAL,104,0,104,5.175470428694887
00497,610,UNION POR LA PATRIA,DIPUTADO NACIONAL,81,0,81,3.8393509291640724
00497,610,UNION POR LA PATRIA,PRESIDENTE Y VICE,83,0,83,3.9555352334710996
00497,610,UNION POR LA PATRIA,SENADOR NACIONAL,81,0,81,3.8393509291640724
00497,612,UNION POR LA PATRIA,SENADOR NACIONAL,99,29,70,3.2003372554754215
00501,781,JUNTOS POR EL CAMBIO,DIPUTADO NACIONAL,0,106,106,5.291654733001915
00501,781,JUNTOS POR EL CAMBIO,SENADOR NACIONAL,0,105,105,5.233562580848401
